url,question,context,answer
https://www.xacbank.mn/product/104,Төслөөр санхүүжүүлэхгүй төслийн чиглэлүүд:,"“ЖАЙКА” жижиг дунд үйлдвэрлэлийг дэмжих, байгаль орчныг хамгаалах II үе шаттай төсөл","Нийгмийн ёс суртахуунд сөрөг нөлөө үзүүлэх бизнес..
Байгаль орчинд сөрөг нөлөөтэй бизнес..
Жижиглэн болон бөөний худалдааны бизнес..
Муу зээлийн түүхтэй бизнес..
Барилгын болон үл хөдлөх хөрөнгийн бизнес..
Хэрэглээний зээл..
Хувь хүний бизнес..
Уул уурхайн бизнес..
Архи тамхины бизнес.."
https://www.xacbank.mn/product/104,БҮРДҮҮЛЭХ БИЧИГ БАРИМТ,"“ЖАЙКА” жижиг дунд үйлдвэрлэлийг дэмжих, байгаль орчныг хамгаалах II үе шаттай төсөл","Чанарын өндөр түвшинд боловсруулсан төсөл..
Төслийн шалгуур хэсэгт заасан баримт бичгүүд..
Банкны бүрдүүлэх бичиг баримт..
Үндсэн хөрөнгийн зээлийн бүрдүүлэх бичиг баримтыг Энд дарж авна уу.."
https://www.xacbank.mn/product/109,Давуу тал:,Платинум карт (ВИЗА),"Монгол Улс болон гадаад оронд төлбөр тооцоогоо саадгүй гүйцэтгэх..
Та төгрөгийн дансаа ашиглаж гадаадад төлбөр, тооцоо гүйцэтгэх боломжтой бөгөөд энэ тохиолдолд гүйлгээ хийсэн валютын төрлөөс хамааран банк бэлэн бус ханшаар хөрвүүлэн тооцох болно..
Картын дансандаа барьцаа (дансны доод үлдэгдэл) байршуулах шаардлагагүй..
ХасБанкны харилцах дансаа картдаа холбуулж ашиглах..
Зээлийн эрх нээлгэх..
Хөнгөлөлттэй нөхцлөөр дэд карт нээлгэх..
Интернэт банк ашиглан картын дансаа 24 цаг хянах.."
https://www.xacbank.mn/product/109,Картын үйлчилгээний нөхцөл:,Платинум карт (ВИЗА),"Жилийн хураамж, 300,000 төг
Өдөрт зарлагадах бэлэн мөнгөний дээд хязгаар, 20,000,000 төг
Худалдан авалтын гүйлгээний дээд хязгаар, 20,000,000 төг
Карт нөхөн авах, -
ПИН код нөхөн авах, -
Дэд карт эзэмшигчийн жилийн хураамж, 50,000 төг
Бэлэн мөнгө авах, ХасБанкны АТМ, 0₮
Гадаадын банкнаас /АТМ/, 1.5% (хамгийн багадаа 3.000₮)
ХасБанкны салбараас ам.доллар авах, 0.25%
ХасБанкны салбараас төгрөг авах, 200₮
АТМ дээр дансны үлдэгдэл шалгах, ХасБанкны АТМ, 0₮
Дотоодын бусад банк, 200₮
Гадаадын АТМ, 1000₮ буюу тэнцэхүйц валют"
https://www.xacbank.mn/product/109,Бүрдүүлэх материал:,Платинум карт (ВИЗА),"Монгол улсын иргэн бол - иргэний үнэмлэх эсхүл гадаад паспорт..
Гадаадын иргэн бол - түр оршин суух үнэмлэх.."
https://www.xacbank.mn/product/111,Корреспондент банкнуудын жагсаалт,Корреспондент банкууд,"Олон улсын хоригт орсон иргэн, аж ахуйн нэгжрүү гүйлгээ шилжүүлэх эсвэл гүйлгээ хүлээн авахгүй байхыг ХасБанкны зүгээс онцгойлон анхааруулж байна.
No link found. Check URL: https://www.xacbank.mn/product/111"
https://www.xacbank.mn/product/113,Давуу тал,КҮБ буюу ПОС Төхөөрөмжийн үйлчилгээ,"Олон улсын VISA, UPI болон дотоодын банкуудын бүх картуудыг уншина..
1800-1888 лавлах дугаараар 24 цагийн турш санал хүсэлт хүлээн авч шуурхай шийдвэрлэнэ..
ХасБанкны карт эзэмшигчдэд бэлэн мөнгө олгох CASHBACK үйлчилгээг үзүүлж бизнесийн орлогоо нэмэгдүүлэх боломжтой. CASHBACK үйлчилгээний талаар дэлгэрэнгүй мэдээлэл авахыг хүсвэл ЭНД дарна уу.."
https://www.xacbank.mn/product/113,ҮЙЛЧИЛГЭЭНИЙ НӨХЦӨЛ,КҮБ буюу ПОС Төхөөрөмжийн үйлчилгээ,"Карт уншигч ПОС төхөөрөмж, ҮНЭГҮЙ
ПОС-ын цаас болон дагалдах хэрэгсэл, ҮНЭГҮЙ
Гарын авлага, сурталчилгааны материал, ҮНЭГҮЙ"
https://www.xacbank.mn/product/113,БҮРДҮҮЛЭХ БИЧИГ БАРИМТ,КҮБ буюу ПОС Төхөөрөмжийн үйлчилгээ,"Бүртгүүлэх хүсэлтийн маягт /ХасБанкны маягт/..
Иргэн бол иргэний үнэмлэхний хуулбар..
Хуулийн этгээд Аж ахуйн нэгжийн гэрчилгээний хуулбар.."
https://www.xacbank.mn/product/113,Хураамж шимтгэлийн нөхцөл,КҮБ буюу ПОС Төхөөрөмжийн үйлчилгээ,"Дотоод банкуудын карт – 1%.
Гадаадын банкны карт – 3%."
https://www.xacbank.mn/product/1136,Давуу тал:,Тэмүүлэл дэд карт,"Нийтийн тээвэрт хүүхдийн тарифаар зорчих..
Дижитал банкаар карт болон дансаа удирдах..
ХасБанкны АТМ-ээс бэлэн мөнгө авах, ХасБанкны дансруу шилжүүлэг хийхэд шимтгэлгүй..
Интернэт худалдааны вэб сайтуудаас худалдан авалт хийх..
Гадаад, дотоодод төлбөр тооцоогоо хурдан, шуурхай, найдвартай гүйцэтгэх..
Бэлэн бус төлбөр тооцоог шимтгэлгүй гүйцэтгэх..
Орчин үеийн өндөр нууцлал бүхий чип технологитой..
Интернэт худалдан авалтын давхар хамгаалалттай бөгөөд таны гүйлгээ бүр нууц кодоор баталгаажина.."
https://www.xacbank.mn/product/1136,Картын үйлчилгээний нөхцөл:,Тэмүүлэл дэд карт,"Карт эзэмшигчид тавигдах шаардлага, Тэмүүлэл дэд карт 07-13 настай харилцагчид эцэг эх, асран хамгаалагчийн дансанд захиална
Картын төрөл, VISA
Дансны валют, MNT
Хүчинтэй хугацаа, 5 жил
Жилийн хураамж, 10,000 төг
Өдөрт зарлагадах бэлэн мөнгөний дээд хязгаар, 100,000 төг
Худалдан авалтын гүйлгээний дээд хязгаар, 500,000 төг
Карт нөхөн авах, 5,000 төг
Пин код шинээр авах /Дижитал банкаар/, 1,000 төг
Пин код солих /АТМ/, 0 төг
Бэлэн мөнгө авах, ХасБанкны АТМ, 0₮
Гадаадын банкнаас /АТМ/, 1.5% (Багадаа 3,000₮)
ХасБанкны салбараас ам.доллар авах, 0.25%
ХасБанкны салбараас төгрөг авах, 200₮
АТМ дээр дансны үлдэгдэл шалгах, ХасБанкны АТМ, 0₮
Дотоодын бусад банк, 200₮
Гадаадын АТМ, 1000₮ буюу тэнцэхүйц валют"
https://www.xacbank.mn/product/1136,Бүрдүүлэх материал:,Тэмүүлэл дэд карт,"Хүүхдийн төрсний гэрчилгээ болон эцэг эхийн аль нэгнийх нь иргэний үнэмлэх..
Гадаадын иргэн бол гадаад паспорт, түр оршин суух үнэмлэх."
https://www.xacbank.mn/product/1137,Давуу тал:,Энгийн кредит карт,"Дэлхийн хаана ч ашиглах боломжтой кредит карт..
Сар бүр дэлгэрэнгүй төлбөрийн нэхэмжлэхээ интернэт банкаар харах..
ХасИнфо буюу мессежээр гүйлгээ мэдэгдэх үйлчилгээ үнэгүй авна..
Төлбөр төлөх өдөр нийт нэхэмжилсэн дүнг бүрэн төлбөл худалдан авалтын хүүгээс чөлөөлөгдөх боломжтой.."
https://www.xacbank.mn/product/1137,Бүтээгдэхүүнийн нөхцөл,Энгийн кредит карт,"Дансны валют, Төгрөг
Жилийн хураамж, 30,000 төг
Зээлийн эрхийн дээд хэмжээ, 5,000,000 төг
Зээлийн эрхийн доод хэмжээ, 500,000 төг
Худалдан авалтын гүйлгээний хүү, 1.8% /сарын/, 21.6% /жилийн/
Бэлэн мөнгөний гүйлгээний хүү /сар/, 2.0% /сарын/, 24% /жилийн/"
https://www.xacbank.mn/product/1137,Кредит карт хэрхэн авах вэ?,Энгийн кредит карт,"Та өөрт ойр ХасБанкны салбарт хандан зээлийн мэргэжилтэнтэй уулзана уу.
No link found. Check URL: https://www.xacbank.mn/product/1137"
https://www.xacbank.mn/product/1138,Давуу тал:,Алтан кредит карт,"Дэлхийн хаана ч ашиглах боломжтой кредит карт..
Сар бүр дэлгэрэнгүй төлбөрийн нэхэмжлэхээ интернэт банкаар харах..
ХасИнфо буюу мессежээр гүйлгээ мэдэгдэх үйлчилгээ үнэгүй авна..
Төлбөр төлөх өдөр нийт нэхэмжилсэн дүнг бүрэн төлбөл худалдан авалтын хүүгээс чөлөөлөгдөх боломжтой.."
https://www.xacbank.mn/product/1138,Бүтээгдэхүүнийн нөхцөл,Алтан кредит карт,"Дансны валют, Төгрөг
Жилийн хураамж, 100,000 төг
Зээлийн эрхийн дээд хэмжээ, 15,000,000 төг
Зээлийн эрхийн доод хэмжээ, 5,000,001 төг
Худалдан авалтын гүйлгээний хүү, 1.7% /сарын/, 20,4% /жилийн/
Бэлэн мөнгөний гүйлгээний хүү /сар/, 2.0% /сарын/, 24% /жилийн/"
https://www.xacbank.mn/product/1138,Кредит карт хэрхэн авах вэ?,Алтан кредит карт,"Та өөрт ойр ХасБанкны салбарт хандан зээлийн мэргэжилтэнтэй уулзана уу.
No link found. Check URL: https://www.xacbank.mn/product/1138"
https://www.xacbank.mn/product/1139,Давуу тал:,Платинум кредит карт,"Дэлхийн хаана ч ашиглах боломжтой кредит карт..
Сар бүр дэлгэрэнгүй төлбөрийн нэхэмжлэхээ интернэт банкаар харах..
ХасИнфо буюу мессежээр гүйлгээ мэдэгдэх үйлчилгээ үнэгүй авна..
Төлбөр төлөх өдөр нийт нэхэмжилсэн дүнг бүрэн төлбөл худалдан авалтын хүүгээс чөлөөлөгдөх боломжтой..
Үнэгүй аяллын даатгал.."
https://www.xacbank.mn/product/1139,Бүтээгдэхүүнийн нөхцөл,Платинум кредит карт,"Дансны валют, Төгрөг
Жилийн хураамж, 300,000 төг
Зээлийн эрхийн дээд хэмжээ, 100,000,000 төг
Зээлийн эрхийн доод хэмжээ, 15,000,001 төг
Худалдан авалтын гүйлгээний хүү, 1.5% /сарын/, 18% /жилийн/
Бэлэн мөнгөний гүйлгээний хүү /сар/, 2.0% /сарын/, 24% /жилийн/"
https://www.xacbank.mn/product/1139,Кредит карт хэрхэн авах вэ?,Платинум кредит карт,"Та өөрт ойр ХасБанкны салбарт хандан зээлийн мэргэжилтэнтэй уулзана уу.
No link found. Check URL: https://www.xacbank.mn/product/1139"
https://www.xacbank.mn/product/1140,Бүтээгдэхүүний нөхцөл,Агаар орчны бохирдлыг бууруулахад чиглэсэн Хэрэглээний Ногоон Зээл,"50 сая төгрөг хүртэл, 30 сар, 6%, Зээл олголтын дүнгийн 1%"
https://www.xacbank.mn/product/1140,ТАВИГДАХ ШААРДЛАГА,Агаар орчны бохирдлыг бууруулахад чиглэсэн Хэрэглээний Ногоон Зээл,"Сүүлийн 12 сарын хугацаанд ажил, бизнес тогтвортой эрхэлсэн байх..
Зээлийн муу түүхгүй байх.."
https://www.xacbank.mn/product/1140,Бүрдүүлэх бичиг баримт,Агаар орчны бохирдлыг бууруулахад чиглэсэн Хэрэглээний Ногоон Зээл,"Хэрэглээний зээлийн өргөдөл (ХасБанкны салбараас эсхүл энд дарж татаж авна уу)..
3х4 хэмжээтэй цээж зураг..
Зээл хүсэгч болон өрхийн гишүүдийн иргэний үнэмлэх, түүний хуулбар..
Худалдан авах гэж буй тоног төхөөрөмжийн үнийн нэхэмжлэл/худалдах худалдан авах гэрээ..
Банкны зүгээс шаардлагатай гэж үзсэн бусад нэмэлт материал.."
https://www.xacbank.mn/product/1140,зориулалт,Агаар орчны бохирдлыг бууруулахад чиглэсэн Хэрэглээний Ногоон Зээл,"Эрчим хүчний хэмнэлттэй цахилгаан халаагуур, Зөөврийн болон хананд суурилуулах конвектор, дулаан нөөцлөх, хэт улаан туяа, уян, эрдэс чулуун бүрхүүлтэй, нано зэрэг эрчим хүчний хэмнэлттэй бүх төрлийн цахилгаан халаагуур, индукцийн аргаар утааны тоосонцрыг бүрэн шатаагч /Тохирлын гэрчилгээ, үйлдвэрлэгч байгууллагын тодорхойлолт, гал ус, чийг тэсвэрлэлтийн мэргэжлийн байгууллагын дүгнэлт
Дулаалгын материал, Орон сууц, байшин, Монгол гэрийн бүх төрлийн дулаалга
Гэр хорооллын нүхэн жорлон, Нэвчилтгүй нүхэн жорлон, бүх төрлийн био жорлон /MNS 5924:2015 стандартын  шаардлага хангасан дахин төлөвлөлтөд хамрагдахгүй газар байх/
Бага оврын цэвэрлэх байгууламж, Амины орон сууцны зориулалттай ахуйн бохир ус цэвэрлэх бага оврын цэвэрлэх байгууламж /MNS4288:1995, MNS 4943:2015, MNS EN12566-3:2011 стандартын шаардлага  хангасан байх/
Гэрийн сайжруулсан зуух, Ахуйн хэрэглээний зуух  MNS 5216:2016  EN13240  стандартын  шаардлага  хангасан/
Цахилгаан тээврийн хэрэгсэл, Цахилгаан машин,  цахилгаан мотоцикл, цахилгаан скүтер (Scooter), бүх төрлийн унадаг дугуй /Цахилгаан машин 2014 оноос хойш үйлдвэрлэсэн, 100 хувь цахилгаан хөдөлгүүртэй, батарей  ашиглалт 75 хувиас  буураагүй байх/
Сэргээгдэх эрчим хүчний эх үүсвэр, Ахуйн хэрэглээний зориулалттай агаар, нар, салхин станц, дулааны насос зэрэг бүх төрлийн сэргээгдэх эрчим хүчний эх үүсвэр
Хувийн орон сууцыг инженерийн шугам сүлжээнд холбох, Инженерийн шугам сүлжээ, барилга байгууламж бүхий стандартын шаардлагад нийцсэн цахилгаан, дулааны эх үүсвэр болон  цэвэр, халуун усаар хангах, бохир ус татан зайлуулах төвлөрсөн системд  хувийн орон сууцыг холбох
Хийн халаалт, Нүүрсээр ажилладаг зуухыг шинэчилж хийн зуухаар солих
Утаа шүүх яндан, яндангийн нэмэлт тоноглол, Уурын зуух, нам даралтын халаалтын зуух, гэрийн зуухнаас гарах бохирдлыг бууруулах яндан."
https://www.xacbank.mn/product/1141,Нөхцөл:,Агаар орчны бохирдлыг бууруулахад чиглэсэн  Бизнесийн Ногоон Зээл,"Зээлийн хэмжээ, 300,000 – 30 сая төгрөг, 30.1-200 сая төгрөг
Валютын төрөл, Төгрөг
Зээлийн хүү, Жилийн 8%
Зээлийн хугацаа, 3-36 сар, 3-60 сар
Үйлчилгээний шимтгэл, 5 сая төгрөг хүртэл – 0.5%5 сая төгрөгөөс дээш – 1%
Зээлийн өргөдлийн хураамж, 0 төргрөг"
https://www.xacbank.mn/product/1141,зориулалт:,Агаар орчны бохирдлыг бууруулахад чиглэсэн  Бизнесийн Ногоон Зээл,"1, Сэргээгдэх эрчим хүчний эх үүсвэр, Нар, салхин цахилгааны эх үүсвэр, газрын гүний дулааны насос, агаар-ус, агаар-агаар, ус-ус, ус-агаар, газар-ус, газар-агаарын зарчим бүхий дулааны насос, халаалтын цахилгаан бойлер, халаалтын болон хэрэглээний ус халаах эзлэхүүний бойлер.
2, Эрчим хүчний хэмнэлттэй цахилгаан халаагуур, Зөөврийн болон хананд суурилуулах конвектор, дулаан нөөцлөх, хэт улаан туяа, уян, эрдэс чулуун бүрхүүлтэй, нано зэрэг эрчим хүчний хэмнэлттэй бүх төрлийн цахилгаан халаагуур, индукцийн аргаар утааны тоосонцрыг бүрэн шатаагч  /Тохирлын гэрчилгээ,   үйлдвэрлэгч байгууллагын тодорхойлолт, гал ус, чийг тэсвэрлэлтийн  мэргэжлийн байгууллагын дүгнэлт/.
3, Бага оврын цэвэрлэх байгууламж, Цэвэрлэх байгууламж, Бохир усанд механик болон биологийн бүрэн цэвэрлэгээ хийх бүх төрлийн бага оврын цэвэрлэх байгууламж/MNS4288:1995, MNS4943:2015, MNSEN12566 3:2011 стандартын шаардлага  хангасан байх/.
4, Халаалтын зуух, Нүүрсээр ажилладаг уурын зуухыг шинэчилж цахилгаан, хийн зуух, сэргээгдэх эрчим хүчний үүсвэрээр  солих,  төвлөрсөн халаалтад холбох, шүүлтүүр суурилуулах.
5, Дулаалгын материал, Дулаан тусгаарлалт сайтай бүтээгдэхүүний үйлдвэрлэлийн  тоног  төхөөрөмж/Эрчим хүчний аудитын дүгнэлт, Асбест агуулаагүй тодорхойлолт/.
6, Хог хаягдлыг шатаах зуух, 10000С-ээс дээш хэмд бүрэн шатаах, энгийн болон аюултай хог хаягдал шатаах зуух.
7, Аялал жуулчлалын баазын цэвэрлэх байгууламж, Жуулчны бааз, рашаан сувилал нь нэг ээлжинд 50-аас дээш зочин хүлээн авах хүчин чадалтай
8, Хөргөлтийн тоног төхөөрөмж, Хөргөх бодисын төрөл –R717, R744:бодисууд нь MNS ISO 817:2020, MNS ISO 5149-1:2020, MNS ISO 5149-2:2020, MNS ISO 5149-3:2020, MNS ISO 5149-4:2020 стандарт шаардлага хангасан тохирлын гэрчилгээтэй,/Ашигт үйлийн коэффициент 95-100%, хөргөх чадал 3НР-аас дээш, хөргөх температур +12-оос доош зэрэгтэй байх/.
9, Агааржуулагч төхөөрөмж  /агаар цэвэршүүлэгч/, Хөргөх төхөөрөмжтэй, агаарын урсгалын эргэлтийг тохируулах хавхлага, тохируулгат дулааны насос бүхий агааржуулагч төхөөрөмж, цонх, хана, тааз эсвэл шаланд бэхлэх зориулалтаар зохион бүтээгдсэн, нэг гэрт угсрагдсан “хуваарилах систем”-тэй агааржуулагч төхөөрөмж, агаар сэлгэх шүүлтүүртэй төхөөрөмж, агаар цэвэршүүлэгч, агаарын шүүлтүүр, Хөргөх бодисын төрөл – R32, R290: бодисууд нь MNS ISO 817:2020, MNS ISO 5149-1:2020, MNS ISO 5149-2:2020, MNS ISO 5149-3:2020, MNS ISO 5149-4:2020 стандартуудыг хангасан тохирлын гэрчилгээтэй байх /Ашигт үйлийн коэффициент  95-100%, хөргөх чадал 0.7 кВт-аас дээш/.
10, Органик бордоо хийх тоног төхөөрөмж, Органик болон хүнсний хог хаягдлаар компост бордоо хийх тоног төхөөрөмж.
11, Хог хаягдал дахин боловсруулах  тоног төхөөрөмж, Боловсруулах боломжтой ахуйн болон шил, лааз, хуванцар хог хаягдал, аюултай хог хаягдал  дахин боловсруулах тоног төхөөрөмж.
12, Усны урсацын эрчим ашиглан ус шахах төхөөрөмж, Гол, урсац ус, суваглал далан дээр суурилуулан дуслын усжуулалт, бороожуулагч болон нөөцлүүр, хөв цөөрөм дүүргэхэд ашиглах  боломжтой ус шахах төхөөрөмж.
13, Авто машины яндангийн шүүлтүүр, Лабораторид туршиж, баталгаажуулсан байх.
14, Нүүрстөрөгч багатай хийн түлш, хийн тоног төхөөрөмж, ""MNS 5084: 2023 шингэрүүлсэн нүүрстөрөгчийн хий-автотээврийн түлш. Техникийн ерөнхий шаардлага""-ыг хангасан байх.
15, Хийн халаалт, Нүүрсээр ажилладаг зуухыг шинэчилж хийн зуухаар солих,  “Хийн аж ахуй аюулгүй ажиллагааны дүрэм”-ийн шаардлагад нийцсэн байх MNS 5043:2001 Монгол Улсын стандартын техникийн ерөнхий шаардлагыг хангасан байх."
https://www.xacbank.mn/product/1141,Тавигдах шалгуур:,Агаар орчны бохирдлыг бууруулахад чиглэсэн  Бизнесийн Ногоон Зээл,"Сүүлийн 6 сарын хугацаанд тухайн бизнесийн үйл ажиллагаагаа явуулсан байх..
Тухайн бизнесийн үйл ажиллагааг эрхлэхэд шаардлагатай тусгай зөвшөөрлийг эрх бүхий байгууллагаас авсан, зөвшөөрөл нь зээл төлөгдөж дуусах хүртэл хүчин төгөлдөр байх эсхүл тодорхой хугацаагаар олгогддог тусгай зөвшөөрлийн хувьд цаашид сунгагдах боломжтой байх..
Бусад банк, санхүүгийн байгууллага болон иргэн, хуулийн этгээдэд муу зээлийн түүхгүй байх..
Бизнесийн орлого зарлагаа тогтмол хөтөлдөг ба бүртгэл /хуулийн этгээдийн хувьд нягтлан бодох бүртгэл/ хөтлөлт нь тухайн бизнесийн үйл ажиллагааны тухай бодит мэдээллийг илэрхийлэх боломжтой байх..
Зээлдэгч банкнаас шаардсан материалыг үнэн зөв, бүрэн гаргадаг байх..
Зээл хүсэгч бизнес хийх явцдаа хуулийн этгээд байгуулан үйл ажиллагаа явуулж байсан бол уг хуулийн этгээд нь дампуурсан эсхүл муу зээлийн түүхгүй байх.."
https://www.xacbank.mn/product/1141,Бүрдүүлэх материал:,Агаар орчны бохирдлыг бууруулахад чиглэсэн  Бизнесийн Ногоон Зээл,"Харилцагчийн анкет бөглөнө. /ХасБанкны маягт, 1% цээж зураг/ зөвхөн анх удаа зээл хүсэгчийн хувьд/;Бичил зээлийн өргөдөл /ХасБанкны маягтаар татаж авах татаж авах/;Иргэний үнэмлэхийн хуулбар;Эрхэлж буй бизнест холбогдох бичиг баримт /тусгай зөвшөөрөл, патент, лиценз байдаг бол авчрах/;Ажлын байрын бичиг баримт/ түрээсээр ашигладаг бол түрээсийн гэрээ, сүүлийн сарын түрээс төлсөн баримт/;Бизнесийн орлоготой холбоотой баримтууд /тайлан, эсхүл орлого бүртгэдэг хар дэвтэр/;Үйл ажиллагаа эрхлэх зөвшөөрөл шаардагддаг бол эрх бүхий байгууллагаас олгосон патент лиценз, эрхийн гэрчилгээ, түрээсийн гэрээ;Орон сууц, хашаа байшин, газар өмчлөх, эзэмших эрхийн гэрчилгээ;Худалдан авах гэж буй тоног төхөөрөмжийн үнийн нэхэмжлэл/худалдах худалдан  авах гэрээ;Банкны зүгээс шаардлагатай гэж үзсэн бусад нэмэлт материал., Бичил зээлийн өргөдөл /ХасБанкны маягтаар татаж авах/;Хуулийн этгээдийн улсын бүртгэлийн гэрчилгээ /нотариатаар батлуулсан хуулбарын хамт/;Гүйцэтгэх удирдлагын цээж зураг, иргэний үнэмлэхийн хуулбар /зөвхөн анх удаа зээл хүсэгчид хамаатай/;Үүсгэн байгуулагчдын хооронд байгуулсан гэрээ /нотариатаар батлуулсан хуулбарын хамт/;Өмнөх 1 жилийн болон сүүлийн улирлын Татварын албанаас баталгаажуулсан тайлан тэнцлийн хуулбар;Зээлээр санхүүжүүлэх үйл ажиллагаатай холбоотой гэрээ, хэлцлийн хуулбар;Барьцаалуулах хөрөнгийг өмчлөх эрхийн гэрчилгээ;Худалдан авах гэж буй тоног төхөөрөмжийн үнийн нэхэмжлэл/худалдах худалдан  авах гэрээ;Банкны зүгээс шаардлагатай гэж үзсэн бусад нэмэлт материал."
