id,"context","question","answer"
"faq_16_0","Мобайл банк 2.0","Мобайл Банк 2.0 нь интернэт банкны үйлчилгээнээс юугаараа ялгаатай вэ?","Мобайл Банк 2.0 үйлчилгээний гол ялгаа нь интернэтгүй орчинд буюу утасны сүлжээ бүхий аль ч газраас банкны бүх төрлийн үйлчилгээг авах боломжтой. Өөрөө хэлбэл заавал ухалааг утастай байх албагүй бөгөөд 2G төрийн утас болох товчлууртай утас байсан ч ашиглах боломжтой."
"faq_16_1","Мобайл банк 2.0","Мобайл Банкны үйлчилгээгээр банк хоорондын гүйлгээ хийж болох уу?","ХасБанкны Мобайл Банкаар БАНК ХООРОНДЫН ГҮЙЛГЭЭ хийх бүрэн боломжтой.Банк дотроо шилжүүлэг хийхэд 100 төг,Банк хооронд шилжүүлэг хийхэд 300 төг."
"faq_16_2","Мобайл банк 2.0","ПИН кодоо мартсан тохиолдолд яах вэ?","Өөрт ойр салбар, ТТ-д цахим үнэмлэхээ авч ирж, ПИН кодоо сэргээлгэнэ.1800-1888 лавлах утсанд Мобайл Банк үйлчилгээнд бүртгэлтэй утасны дугаараас залгаж, хүсэлт гаргана."
"faq_16_3","Мобайл банк 2.0","ПИН код буруу оруулан түгжигдсэн харилцагч яах вэ?","ПИН кодоо 5 удаа буруу хийхэд хэрэглэгчийн эрх түгжигдэх бөгөөд салбар, ТТ -д хандах эсхүл 1800-1888 дугаарт залгаж шинэ ПИН код авна.Та *1888# дугаарт залгаж шинэ ПИН кодоо оруулснаар түгжигдсэн эрх тайлагдана."
"faq_16_4","Мобайл банк 2.0","Гадаадад Мобайл Банк 2.0 үйлчилгээг ашиглах боломжтой юу?","Боломжтой. Roaming үйлчилгээ идэвхжүүлэн *1888# дугаарт залгаж, Мобайл Банкны үйлчилгээ авах боломжтой."
"faq_16?lang=mn_0","Мобайл банк 2.0","Мобайл Банк 2.0 нь интернэт банкны үйлчилгээнээс юугаараа ялгаатай вэ?","Мобайл Банк 2.0 үйлчилгээний гол ялгаа нь интернэтгүй орчинд буюу утасны сүлжээ бүхий аль ч газраас банкны бүх төрлийн үйлчилгээг авах боломжтой. Өөрөө хэлбэл заавал ухалааг утастай байх албагүй бөгөөд 2G төрийн утас болох товчлууртай утас байсан ч ашиглах боломжтой."
"faq_16?lang=mn_1","Мобайл банк 2.0","Мобайл Банкны үйлчилгээгээр банк хоорондын гүйлгээ хийж болох уу?","ХасБанкны Мобайл Банкаар БАНК ХООРОНДЫН ГҮЙЛГЭЭ хийх бүрэн боломжтой.Банк дотроо шилжүүлэг хийхэд 100 төг,Банк хооронд шилжүүлэг хийхэд 300 төг."
"faq_16?lang=mn_2","Мобайл банк 2.0","ПИН кодоо мартсан тохиолдолд яах вэ?","Өөрт ойр салбар, ТТ-д цахим үнэмлэхээ авч ирж, ПИН кодоо сэргээлгэнэ.1800-1888 лавлах утсанд Мобайл Банк үйлчилгээнд бүртгэлтэй утасны дугаараас залгаж, хүсэлт гаргана."
"faq_16?lang=mn_3","Мобайл банк 2.0","ПИН код буруу оруулан түгжигдсэн харилцагч яах вэ?","ПИН кодоо 5 удаа буруу хийхэд хэрэглэгчийн эрх түгжигдэх бөгөөд салбар, ТТ -д хандах эсхүл 1800-1888 дугаарт залгаж шинэ ПИН код авна.Та *1888# дугаарт залгаж шинэ ПИН кодоо оруулснаар түгжигдсэн эрх тайлагдана."
"faq_16?lang=mn_4","Мобайл банк 2.0","Гадаадад Мобайл Банк 2.0 үйлчилгээг ашиглах боломжтой юу?","Боломжтой. Roaming үйлчилгээ идэвхжүүлэн *1888# дугаарт залгаж, Мобайл Банкны үйлчилгээ авах боломжтой."
"faq_17_0","МИАТ кредит карт","Кредит карт гэж юу вэ?","Зээлийн эрх бүхий төлбөрийн карт юм. Кредит картаар бэлэн бус гүйлгээ хийх зориулалттай. Бэлэн мөнгөний эргэн төлөх хүү нь бэлэн бус гүйлгээнээс их байдаг."
"faq_17_1","МИАТ кредит карт","Төлбөрийн нэхэмжлэх хэрхэн авах вэ?","Банкнаас сар бүр (кредит картын нөхцөлийн дагуу) төлбөрийн нэхэмжлэх гарсан талаарх мэдээллийг таны банкинд бүртгүүлсэн цахим шуудан, гар утсанд мэдэгдэнэ. Мөн интернэт банкаараа нэвтрэн орж сүүлийн 12 сарын төлбөрийн нэхэмжлэхээ харах боломжтой."
"faq_17_2","МИАТ кредит карт","Төлбөр төлөх","Төлбөрийн нэхэмжлэхэд тусгасан сарын төлбөр (заавал төлөх төлбөр)-ийг тогтоосон хугацаанаас өмнө төлөх үүрэгтэй. Төлбөрөө:Интернэт банк болон мобайл банк ашиглан;Банкны салбараар;Орлогын АТМ ашиглан хийх боломжтой."
"faq_17_3","МИАТ кредит карт","МИАТ кредит карт-д хэрхэн миль цуглуулах вэ?","МИАТ кредит картаараа ХасБанкны ПОС дээр хийх 10,000төг тутамд 1 миль цугларна.Олон улсад аль ч банкны ПОС дээр уншуулсан 10,000төг тэнцэхүйц гүйлгээ тутамд 1 миль цугларна.Цуглуулсан миль-ээ сар бүрийн нэхэмжлэхээсээ харах боломжтой."
"faq_17_4","МИАТ кредит карт","Цуглуулсан миль-ээ хэрхэн ашиглах вэ?","Миль хэрхэн зарцуулах талаар ЭНД дарж харна уу."
"faq_18_0","Дижитал банк","Дижитал банкны үйлчилгээнд хэрхэн бүртгүүлэх вэ?","XacBank Digital апп татаж авах эсхүл вэбээр нэвтрэх бол https://digital.xacbank.mn/XACBaseApp/ дарна уу;Өөрт ойр байрлах ХасБанкны дурын салбар, нэгжид иргэний цахим үнэмлэхээ авч очно уу.Харилцагч хуулийн этгээд нь:Үйлчилгээнд бүртгүүлэх тухай албан бичиг бичиж, ХасБанкны маягтыг бөглөн өөрт ойр байрлах салбарт очно уу."
"faq_18_1","Дижитал банк","Дижитал банкаар ямар төрлийн үйлчилгээг авах вэ?","Банкинд бэлэн мөнгө тушаах, данснаас бэлэн зарлага гаргахаас бусад бүх үйлчилгээг авч болно. Үүнд:Данс:Хугацаатай болон хугацаагүй хадгаламж, харилцах дансыг шинээр нээх;Хугацаатай болон хугацаагүй хадгаламж, харилцах, зээлийн дансны мэдээлэл авах, үлдэгдэл шалгах, хуулга болон дансны тодорхойлолт авах гэх мэт;Бэлэн бус төлбөр тооцоо:ХасБанкны данс хооронд шилжүүлэг ШИМТГЭЛГҮЙ хийх;Банк хоорондын гүйлгээ хийх;Qpay үйлчилгээг ашиглан төлбөр төлөх;Зээлийн төлбөр төлөх;Хэрэглээний төлбөр төлөх;Төрийн үйлчилгээ, татвар болон Гаалийн төлбөр төлөх;Кредит картын төлбөр төлөх;Олон улсын мөнгөн шилжүүлэг (SWIFT);Тогтмол хийдэг гүйлгээгээ загвар болгон хадгалах;Тав хүртэлх данс руу өөр өөр үнийн дүнтэй, ялгаатай гүйлгээний утгатайгаар нэгэн зэрэг шилжүүлэх Мулти гүйлгээ;Хүлээн авагчийн утасны дугаар, имэйл хаягаар гүйлгээ хийх;Өндөр дүнтэй валютын арилжааны хэлцэл хийх;Захиалгат гүйлгээ үүсгэх;Гүйлгээний баримт авах;Карт:Дебит болон кредит картын мэдээлэл харах;Шинэ картын захиалга үүсгэх, нөхөн авах;Захиалсан дороо үүсэн ашиглах боломжтой Виртуал карт захиалах;Картын төлөв өөрчлөх;Хаясан гээсэн картаа түр идэвхгүй болгох, буцаан нээх, нөхөн захиалах, хүссэн газартаа шуудангаар хүргүүлэх;Картын пин кодоо авах;Онлайн гүйлгээний и-пин код авах;Олон улсын гүйлгээг нээж хаах;Картын гүйлгээний лимитээ нэмэх, хасах;Зээл:Хадгаламж барьцаалсан зээл шинээр болон дахин авах, хугацаа сунгах;Цалингийн зээл авах;Зээлийн үлдэгдэл, зээлжих эрхийн мэдээлэл харах;Зээл төлөх, хаах;Бусад:Картгүй үед Mobile cash үйлчилгээг ашиглан өөрт ойр ХасБанкы АТМ-с бэлэн мөнгө авах;Валютын ханш, хадгаламжийн болон зээлийн тооцоолол хийх;Өөрт ойр салбар болон АТМ-н байршлыг жагсаалтаар эсхүл газрын зургаас харах;Хувийн мэдээллээ солих, шинэчлэх;Дансны удирдлага;Нууц үгээ солих;"
"faq_18_2","Дижитал банк","Дижитал банкны үйлчилгээг гар утаснаасаа ашиглах боломжтой юу?","Тийм, та манай интернэт банкны аппликэшнийг өөрийн Android, iOS үйлдлийн системийн гар утсандаа суулгаж, ашиглах боломжтой."
"faq_18_3","Дижитал банк","Нэвтрэх нууц үгээ мартсан бол яах вэ?","“Нэвтрэх цонх”-ны доор байрлах “Нууц үг мартсан” холбоос дээр дарна. Бүртгэлтэй утасны дугаарт ирсэн нэг удаагийн нууц үгийг оруулж, шинэ нууц үгээ үүсгэнэ.Жич: Таны нууц үг том жижиг үсэг, тоо эсвэл тэмдэгт зэрэг дурын гурвалын хослол /aB2, aB@, A1@/ бүхий 8-аас дээш оронтой байх шаардлагатай.Жишээ нь: naRaa2, Naraa@, naraaA2 гэх мэт."
"faq_18_4","Дижитал банк","Гүйлгээний нууц үгээ мартсан бол яах вэ?","Гүйлгээ (банк хоорондын гүйлгээ эсхүл банк дотроо) хийх гэж буй мэт ороод гүйлгээний нууц хийх цонхны доор ""гүйлгээний нууц үг мартсан"" холбоос дээр дарж шинээр гүйлгээний нууц үгээ оруулна."
"faq_18_5","Дижитал банк","Дижитал банкинд нэвтрэх нэрээ мартсан бол яах вэ?","“Нэвтрэх цонх”-ны доор байрлах “Нэр мартсан” холбоос дээр дарна. Бүртгэлтэй утасны дугаарт ирсэн нэг удаагийн нууц үгийг оруулж, нэвтрэх нэрээ авна.Харилцагчийн Үйлчилгээний Төвийн 1800-1888 дугаарт залгаж, эсвэл дурын салбарт өөрийн биеэр очиж лавлах боломжтой."
"faq_18_6","Дижитал банк","Нууц үгээ хэрхэн солих вэ?","Хэрэв та нэвтрэх эсвэл гүйлгээний нууц үгээ солих бол дижита банкны ТОХИРГОО цэснээс НУУЦ ҮГ СОЛИХ дэд цэсийг сонгон нууц үгээ шинэчлэх боломжтой."
"faq_18_7","Дижитал банк","Дижитал банкны үйлчилгээнд дансаа хэрхэн нэмэх, хасах вэ?","Харилцагч иргэний хувьд:Интернэт банкны ТОХИРГОО цэснээс ДАНСНЫ УДИРДЛАГА цэс ашиглан дансаа нэмэх, хасах боломжтой.Харилцагч хуулийн этгээдийн хувьд:Интернэт банкны мэдээлэл өөрчлөх хүсэлтийн маягтыг бөглөж, албан бичгийн хамт банкны дурын салбарт хандана."
"faq_18_8","Дижитал банк","Дижитал банкаар хийх гүйлгээний лимитээ хэрхэн нэмэгдүүлэх вэ?","Харилцагч иргэний хувьд:Дижитал банкны ТОХИРГОО цэснээс ЛИМИТ ТОХИРГОО-р өөрчилнө.Харилцагч хуулийн этгээдийн хувьд:Интернэт банкны мэдээлэл өөрчлөх хүсэлтийн маягтыг бөглөж, албан бичгийн хамт банкны дурын салбарт хандана."
"faq_18_9","Дижитал банк","Дижитал банкаар банк хооронд гүйлгээ хийвэл хүлээн авагчийн дансанд ямар хугацааны дараа орох вэ?","Дижитал банкаар хийж буй банк хоорондын 5 сая төгрөгөөс доош дүнтэй гүйлгээ нь гүйлгээ хийсэн даруйд шилжих бөгөөд 5 сая төгрөгөөс дээших дүнтэй гүйлгээний хувьд ажлын өдрүүдэд 2 цагийн дотор шилжих болно.Амралтын өдөр бол дараагийн ажлын өдөр шилжинэ."
"faq_18_10","Дижитал банк","Гүйлгээний нууц үг ашиглахгүйгээр гүйлгээ хийх боломжтой юу?","Зөвхөн өөрийн данс хооронд гүйлгээ хийхэд харилцагчаас гүйлгээний нууц үг шаарддаггүй."
"faq_18?lang=mn_0","Дижитал банк","Дижитал банкны үйлчилгээнд хэрхэн бүртгүүлэх вэ?","XacBank Digital апп татаж авах эсхүл вэбээр нэвтрэх бол https://digital.xacbank.mn/XACBaseApp/ дарна уу;Өөрт ойр байрлах ХасБанкны дурын салбар, нэгжид иргэний цахим үнэмлэхээ авч очно уу.Харилцагч хуулийн этгээд нь:Үйлчилгээнд бүртгүүлэх тухай албан бичиг бичиж, ХасБанкны маягтыг бөглөн өөрт ойр байрлах салбарт очно уу."
"faq_18?lang=mn_1","Дижитал банк","Дижитал банкаар ямар төрлийн үйлчилгээг авах вэ?","Банкинд бэлэн мөнгө тушаах, данснаас бэлэн зарлага гаргахаас бусад бүх үйлчилгээг авч болно. Үүнд:Данс:Хугацаатай болон хугацаагүй хадгаламж, харилцах дансыг шинээр нээх;Хугацаатай болон хугацаагүй хадгаламж, харилцах, зээлийн дансны мэдээлэл авах, үлдэгдэл шалгах, хуулга болон дансны тодорхойлолт авах гэх мэт;Бэлэн бус төлбөр тооцоо:ХасБанкны данс хооронд шилжүүлэг ШИМТГЭЛГҮЙ хийх;Банк хоорондын гүйлгээ хийх;Qpay үйлчилгээг ашиглан төлбөр төлөх;Зээлийн төлбөр төлөх;Хэрэглээний төлбөр төлөх;Төрийн үйлчилгээ, татвар болон Гаалийн төлбөр төлөх;Кредит картын төлбөр төлөх;Олон улсын мөнгөн шилжүүлэг (SWIFT);Тогтмол хийдэг гүйлгээгээ загвар болгон хадгалах;Тав хүртэлх данс руу өөр өөр үнийн дүнтэй, ялгаатай гүйлгээний утгатайгаар нэгэн зэрэг шилжүүлэх Мулти гүйлгээ;Хүлээн авагчийн утасны дугаар, имэйл хаягаар гүйлгээ хийх;Өндөр дүнтэй валютын арилжааны хэлцэл хийх;Захиалгат гүйлгээ үүсгэх;Гүйлгээний баримт авах;Карт:Дебит болон кредит картын мэдээлэл харах;Шинэ картын захиалга үүсгэх, нөхөн авах;Захиалсан дороо үүсэн ашиглах боломжтой Виртуал карт захиалах;Картын төлөв өөрчлөх;Хаясан гээсэн картаа түр идэвхгүй болгох, буцаан нээх, нөхөн захиалах, хүссэн газартаа шуудангаар хүргүүлэх;Картын пин кодоо авах;Онлайн гүйлгээний и-пин код авах;Олон улсын гүйлгээг нээж хаах;Картын гүйлгээний лимитээ нэмэх, хасах;Зээл:Хадгаламж барьцаалсан зээл шинээр болон дахин авах, хугацаа сунгах;Цалингийн зээл авах;Зээлийн үлдэгдэл, зээлжих эрхийн мэдээлэл харах;Зээл төлөх, хаах;Бусад:Картгүй үед Mobile cash үйлчилгээг ашиглан өөрт ойр ХасБанкы АТМ-с бэлэн мөнгө авах;Валютын ханш, хадгаламжийн болон зээлийн тооцоолол хийх;Өөрт ойр салбар болон АТМ-н байршлыг жагсаалтаар эсхүл газрын зургаас харах;Хувийн мэдээллээ солих, шинэчлэх;Дансны удирдлага;Нууц үгээ солих;"
"faq_18?lang=mn_2","Дижитал банк","Дижитал банкны үйлчилгээг гар утаснаасаа ашиглах боломжтой юу?","Тийм, та манай интернэт банкны аппликэшнийг өөрийн Android, iOS үйлдлийн системийн гар утсандаа суулгаж, ашиглах боломжтой."
"faq_18?lang=mn_3","Дижитал банк","Нэвтрэх нууц үгээ мартсан бол яах вэ?","“Нэвтрэх цонх”-ны доор байрлах “Нууц үг мартсан” холбоос дээр дарна. Бүртгэлтэй утасны дугаарт ирсэн нэг удаагийн нууц үгийг оруулж, шинэ нууц үгээ үүсгэнэ.Жич: Таны нууц үг том жижиг үсэг, тоо эсвэл тэмдэгт зэрэг дурын гурвалын хослол /aB2, aB@, A1@/ бүхий 8-аас дээш оронтой байх шаардлагатай.Жишээ нь: naRaa2, Naraa@, naraaA2 гэх мэт."
"faq_18?lang=mn_4","Дижитал банк","Гүйлгээний нууц үгээ мартсан бол яах вэ?","Гүйлгээ (банк хоорондын гүйлгээ эсхүл банк дотроо) хийх гэж буй мэт ороод гүйлгээний нууц хийх цонхны доор ""гүйлгээний нууц үг мартсан"" холбоос дээр дарж шинээр гүйлгээний нууц үгээ оруулна."
"faq_18?lang=mn_5","Дижитал банк","Дижитал банкинд нэвтрэх нэрээ мартсан бол яах вэ?","“Нэвтрэх цонх”-ны доор байрлах “Нэр мартсан” холбоос дээр дарна. Бүртгэлтэй утасны дугаарт ирсэн нэг удаагийн нууц үгийг оруулж, нэвтрэх нэрээ авна.Харилцагчийн Үйлчилгээний Төвийн 1800-1888 дугаарт залгаж, эсвэл дурын салбарт өөрийн биеэр очиж лавлах боломжтой."
"faq_18?lang=mn_6","Дижитал банк","Нууц үгээ хэрхэн солих вэ?","Хэрэв та нэвтрэх эсвэл гүйлгээний нууц үгээ солих бол дижита банкны ТОХИРГОО цэснээс НУУЦ ҮГ СОЛИХ дэд цэсийг сонгон нууц үгээ шинэчлэх боломжтой."
"faq_18?lang=mn_7","Дижитал банк","Дижитал банкны үйлчилгээнд дансаа хэрхэн нэмэх, хасах вэ?","Харилцагч иргэний хувьд:Интернэт банкны ТОХИРГОО цэснээс ДАНСНЫ УДИРДЛАГА цэс ашиглан дансаа нэмэх, хасах боломжтой.Харилцагч хуулийн этгээдийн хувьд:Интернэт банкны мэдээлэл өөрчлөх хүсэлтийн маягтыг бөглөж, албан бичгийн хамт банкны дурын салбарт хандана."
"faq_18?lang=mn_8","Дижитал банк","Дижитал банкаар хийх гүйлгээний лимитээ хэрхэн нэмэгдүүлэх вэ?","Харилцагч иргэний хувьд:Дижитал банкны ТОХИРГОО цэснээс ЛИМИТ ТОХИРГОО-р өөрчилнө.Харилцагч хуулийн этгээдийн хувьд:Интернэт банкны мэдээлэл өөрчлөх хүсэлтийн маягтыг бөглөж, албан бичгийн хамт банкны дурын салбарт хандана."
"faq_18?lang=mn_9","Дижитал банк","Дижитал банкаар банк хооронд гүйлгээ хийвэл хүлээн авагчийн дансанд ямар хугацааны дараа орох вэ?","Дижитал банкаар хийж буй банк хоорондын 5 сая төгрөгөөс доош дүнтэй гүйлгээ нь гүйлгээ хийсэн даруйд шилжих бөгөөд 5 сая төгрөгөөс дээших дүнтэй гүйлгээний хувьд ажлын өдрүүдэд 2 цагийн дотор шилжих болно.Амралтын өдөр бол дараагийн ажлын өдөр шилжинэ."
"faq_18?lang=mn_10","Дижитал банк","Гүйлгээний нууц үг ашиглахгүйгээр гүйлгээ хийх боломжтой юу?","Зөвхөн өөрийн данс хооронд гүйлгээ хийхэд харилцагчаас гүйлгээний нууц үг шаарддаггүй."
