"id","context","question","answer"
"article_dividend-2024h1","""XacBank"" JSC distributed a dividend of MNT 18.9 billion from the Bank’s earnings for the first half of the year 2024 to its shareholders","""XacBank"" JSC distributed a dividend of MNT 18.9 billion from the Bank’s earnings for the first half of the year 2024 to its shareholders","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй In accordance with the resolution of the Board of Directors of XacBank JSC (the “Bank”), the extraordinary general meeting (the ”EGM”) of shareholders of the Bank was organized through online ballot voting between 25 July 2024 and 4 September 2024. Following the EGM, 99.99% of the shareholders with voting rights who participated in the EGM have approved to declare and distribute interim dividends from the Bank’s earnings for the first half of the year 2024 in the total gross amount of MNT 18,948,600,000.00 by a declaration of dividend in the amount of MNT 18.00 per share. Pursuant to the decision of the shareholders, the interim dividends were disbursed via Mongolian Central Securities Depository into the shareholders' accounts on after-tax basis. Since becoming an open joint-stock company, the Bank has established a consistent policy of distributing dividends on a semi-annual basis. The record date to determine shareholders entitled to receive interim dividends was set on 8 August 2024. Therefore, the shareholders are encouraged to contact their respective brokerage companies for further information regarding their dividends. To access the list of brokerage companies, pleaseCLICK HERE.  We extend our gratitude to all our valued investors.  Contact Information: Working hours: Between 10:00 and 17:00 on working days  1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_dividend-declaration","Dividend declaration by “XacBank” JSC based on the net profit for the first half of 2023","Dividend declaration by “XacBank” JSC based on the net profit for the first half of 2023","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй According to the Board of Directors (the “Board”)’ Resolution No.R-2023-72 dated 06 November 2023, the Board has decided to distribute a total gross amount of MNT 15,527,325,000.00 (fifteen billion five hundred twenty-seven million three hundred twenty-five thousand togrogs) by a declaration of dividend in the amount of MNT 14.75 (fourteen togrogs and seventy-five mongos) per share from the company’s earnings for the first half of 2023 to the shareholders. The dividends will be distributed after obtaining the Bank of Mongolia’s consent and final approval by the company’s shareholders' meeting in accordance with the Charter of XacBank JSC. In this context, the Board has also recommended to the shareholders the amendment and restatement of the Dividend Policy of XacBank to allow for potential interim dividend distributions from the semi-annual profits.  1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_ebrd-gcf-25m-fund-en","XacBank has received 25 million US dollars from EBRD to support green businesses","XacBank has received 25 million US dollars from EBRD to support green businesses","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй XacBank received USD 25 million funding from the European Bank for Reconstruction and Development (EBRD) in order to support entrepreneurs and enterprises that intend to introduce energy-efficient equipment and environmentally friendly technologies into their operations. The financing is provided by the EBRD in cooperation with the Green Climate Fund (GCF) under the Green Economy Financing Facility (GEFF). The funding consists of USD 18.75 million from EBRD and USD 6.25 million from the GCF. The program (GEFF) aims to increase the availability of energy-efficient green technologies, which will not only allow entrepreneurs to improve their efficiency by introducing modern advanced technology, renewable energy and innovative solutions in their operations, but will also reduce greenhouse gas emissions and have a positive impact on the environment. In 2009, XacBank established the first Eco Bank department in the banking sector, and in 2016, it became the first private sector organization to be accredited by the Green Climate Fund, not only in Mongolia, but also among developing countries. It was successfully accredited for the second time in 2022.  1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_ebrd-gcf-greenlending","EBRD and GCF support green lending in Mongolia","EBRD and GCF support green lending in Mongolia","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй The European Bank for Reconstruction and Development (EBRD) is promoting green lending in Mongolia by organising a financial package of US$ 25 million to XacBank, the country’s most active creditor of green economy projects. The package consists of an EBRD loan of up to US$ 18.75 million and concessional financing of up to US$ 6.25 million provided by the Green Climate Fund (GCF). It will help support domestic individuals and businesses willing to invest in climate mitigation and adaptation technologies and services. Beneficiaries can identify climate-friendly technologies with the help of the Green Technology Selector and dedicated technical support is available through a consultancy team funded by the GCF and Japan.  This is the latest project in Mongolia under the Green Economy Financing Facility (GEFF) programme, which is part of the EBRD’s Green Economy Transition (GET) approach, through which the EBRD aims to become a majority green bank by 2025. The programme operates through a network of more than 170 local financial institutions across 28 countries, supported by more than €5.8 billion of EBRD financing for over 220,000 clients to date. These projects have led to annual CO2 emission reductions of more than 9 million tonnes so far. XacBank, the sustainability-award-winning financial institution and the first financial institution to join GEFF in Mongolia, will benefit from the EBRD’s experience in energy and resource efficiency and climate resilience financing. The project is supported by technical assistance from the GCF and the Japan-EBRD Cooperation Fund. GEFF Mongolia supports gender activities that aim to enhance equal opportunities for men and women to access finance for green technologies. To date, the EBRD has invested almost US$ 2.17 billion in Mongolia’s economy through 122 projects.   1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_egm-announce-240802","ХасБанк ХК-ийн хувьцаа эзэмшигчдийн ээлжит бус хурлын зарлал","ХасБанк ХК-ийн хувьцаа эзэмшигчдийн ээлжит бус хурлын зарлал","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй   1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_egm-pr-en","XacBank Concludes the Extraordinary General Meeting of the Shareholders with Agenda Items Approved","XacBank Concludes the Extraordinary General Meeting of the Shareholders with Agenda Items Approved","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй The first extraordinary meeting of the shareholders of XacBank was convened on 15 September, 2023, in the Diamond meeting room on the 3rd floor of Blue Sky Hotel, following the XacBank’s reorganization into a joint-stock company. This meeting was organized through a combination of in person and virtual attendance. The EGM achieved a quorum with 95.55% attendance and the agenda items, which included reflecting the IPO proceeds in the share capital and setting the paid-in share capital of XacBank at MNT 105,270,000,000 (one hundred and five billion two hundred and seventy million), as well as approving the Charter of XacBank JSC, were approved. The EGM resolutions are accessibleHERE.   1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_egm24-announcement","Announcement of the extraordinary general meeting of XacBank JSC shareholders","Announcement of the extraordinary general meeting of XacBank JSC shareholders","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй   1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_financial-report-2024q3","ХасБанк 2024 оны III улиралд 43.4 тэрбум төгрөгийн татварын дараах цэвэр ашигтай ажиллалаа","ХасБанк 2024 оны III улиралд 43.4 тэрбум төгрөгийн татварын дараах цэвэр ашигтай ажиллалаа","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй ХасБанк 2024 оны III улиралд 43.4 тэрбум төгрөгийн (өмнөх улирлаас +0.4%) татварын дараах цэвэр ашигтай ажиллалаа. Ингэснээр жилийн өссөн дүнгээр татварын дараах цэвэр ашиг 128.7 тэрбум төгрөгт (өмнөх жилийн мөн үеэс +26.7%) хүрч, өөрийн хөрөнгийн өгөөж (annualized ROE) 26.2%,нэгж хувьцаанд ногдох цэвэр ашиг (EPS) 122.3 төгрөгтхүрлээ 2024 оны III улирлын санхүүгийн үзүүлэлтээс онцолбол: Тайлант хугацаанд ХасБанк Банкны тухай хуулиар болон Монголбанкнаас тогтоосон зохистой харьцааны шалгуур үзүүлэлтүүдийг бүрэн хангаж ажиллалаа. Үүнд: Нэгдүгээр зэрэглэлийн өөрийн хөрөнгө болон эрсдэлээр жигнэсэн активын зохистой харьцаа 18.2%(байвал зохих хэмжээ 12.5%). Ийнхүү давуулан биелүүлсэн нөөц өөрийн хөрөнгө нь аливаа болзошгүй эрсдэлийг даахаас гадна ирээдүйд активын тэлэлт хийх, ногдол ашиг тараах боломжийг бий болгодог. Төлбөр түргэн гүйцэтгэх чадварын харьцаа 34.5%(байвал зохих хэмжээ 25.0%) буюу ХасБанк бусдаас татан төвлөрүүлсэн нийт эх үүсвэрийнхээ 34.5% болох 1,682 тэрбум төгрөгийг бэлэн мөнгө болон түргэн борлогдох активт байршуулан удирдаж байна.  ХасБанкны 2024 оны III улирлын санхүүгийн байдал болон орлого үр дүнгийн тайлантайЭНДдарж танилцана уу.  1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_fm-scholarship","ХасБанк 500 сая төгрөгийн дүнтэй “Оюутны тэтгэлэгт хөтөлбөр” зарлалаа","ХасБанк 500 сая төгрөгийн дүнтэй “Оюутны тэтгэлэгт хөтөлбөр” зарлалаа","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй Хүүхдэд зориулсан Монголын анхны урт хугацаат хадгаламж“Ирээдүйн саятан”-ы бэлгэдэлт дүр болох Хасхүүгийн төрсөн өдрийг тохиолдуулан ХасБанкнаас нийт 500 сая төгрөгийн дүн бүхий“Оюутны тэтгэлэгт хөтөлбөр”-ийг зарлаж байна. Ирээдүйн саятны нэрэмжит уг тэтгэлэгт хөтөлбөр нь ирээдүйдээ итгэлтэй, боловсрол мэдлэгтэй иргэн болохоор шамдан суралцаж буй найзууддаа Хасхүүгийн зүгээс талархлаа илэрхийлэн барьж буй бэлэг бөгөөд 5 жилийн хугацаанд үргэлжилж, жил бүр 100 оюутныг шалгаруулан, оюутан тус бүрд 5 сая хүртэлх төгрөгийн сургалтын төлбөрийн тэтгэлэг олгоно. Энэ жилийн тэтгэлэгт дараах шаардлагыг хангасан оюутнууд хамрагдах боломжтой. Үүнд: Дээрх шаардлагыг ханган тэтгэлэгт хамрагдахыг хүсэж буй оюутнуудын хүсэлтийг2024 оны 12-р сарын 02-ны өдрөөс 12-р сарын 18-ны өдрийг дуусталхугацаанд цахимаар хүлээн авах бөгөөд тэтгэлэгт шалгарсан 100 оюутныг 2024 оны 12-р сарын 20-ны өдөр ХасБанкны веб сайт /www.xacbank.mn/ дээр нээлттэй зарлана. Ирээдүйн саятны нэрэмжит “Оюутны тэтгэлэгт хөтөлбөр”-т хамрагдах хүсэлтээ доорх товч дээр дарж илгээнэ үү. ХҮСЭЛТ ИЛГЭЭХ Хүүхдийнхээ ирээдүйд хөрөнгө оруулж, санхүүгийн бат бэх суурийг тавихад нь эцэг эхчүүдэд дэмжлэг болох зорилгоор ХасБанк Ирээдүйн саятан хадгаламжийг 2002 онд анхлан нэвтрүүлснээс хойш эцэг эх, эмээ өвөө, асран хамгаалагчдын найдвартай туслагч байж, олон мянган хүүхэд багачуудын хүсэл мөрөөдөлдөө хүрэх шат нь болсоор ирсэн бөгөөд өдгөө Монгол Улсын 5 хүүхэд тутмын 1 нь Ирээдүйн саятан хадгаламж эзэмшигч байна.  1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_fm-scholarship?lang=mn","ХасБанк 500 сая төгрөгийн дүнтэй “Оюутны тэтгэлэгт хөтөлбөр” зарлалаа","ХасБанк 500 сая төгрөгийн дүнтэй “Оюутны тэтгэлэгт хөтөлбөр” зарлалаа","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй Хүүхдэд зориулсан Монголын анхны урт хугацаат хадгаламж“Ирээдүйн саятан”-ы бэлгэдэлт дүр болох Хасхүүгийн төрсөн өдрийг тохиолдуулан ХасБанкнаас нийт 500 сая төгрөгийн дүн бүхий“Оюутны тэтгэлэгт хөтөлбөр”-ийг зарлаж байна. Ирээдүйн саятны нэрэмжит уг тэтгэлэгт хөтөлбөр нь ирээдүйдээ итгэлтэй, боловсрол мэдлэгтэй иргэн болохоор шамдан суралцаж буй найзууддаа Хасхүүгийн зүгээс талархлаа илэрхийлэн барьж буй бэлэг бөгөөд 5 жилийн хугацаанд үргэлжилж, жил бүр 100 оюутныг шалгаруулан, оюутан тус бүрд 5 сая хүртэлх төгрөгийн сургалтын төлбөрийн тэтгэлэг олгоно. Энэ жилийн тэтгэлэгт дараах шаардлагыг хангасан оюутнууд хамрагдах боломжтой. Үүнд: Дээрх шаардлагыг ханган тэтгэлэгт хамрагдахыг хүсэж буй оюутнуудын хүсэлтийг2024 оны 12-р сарын 02-ны өдрөөс 12-р сарын 18-ны өдрийг дуусталхугацаанд цахимаар хүлээн авах бөгөөд тэтгэлэгт шалгарсан 100 оюутныг 2024 оны 12-р сарын 20-ны өдөр ХасБанкны веб сайт /www.xacbank.mn/ дээр нээлттэй зарлана. Ирээдүйн саятны нэрэмжит “Оюутны тэтгэлэгт хөтөлбөр”-т хамрагдах хүсэлтээ доорх товч дээр дарж илгээнэ үү. ХҮСЭЛТ ИЛГЭЭХ Хүүхдийнхээ ирээдүйд хөрөнгө оруулж, санхүүгийн бат бэх суурийг тавихад нь эцэг эхчүүдэд дэмжлэг болох зорилгоор ХасБанк Ирээдүйн саятан хадгаламжийг 2002 онд анхлан нэвтрүүлснээс хойш эцэг эх, эмээ өвөө, асран хамгаалагчдын найдвартай туслагч байж, олон мянган хүүхэд багачуудын хүсэл мөрөөдөлдөө хүрэх шат нь болсоор ирсэн бөгөөд өдгөө Монгол Улсын 5 хүүхэд тутмын 1 нь Ирээдүйн саятан хадгаламж эзэмшигч байна.  1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_infosys-finacle","Infosys Finacle powers XacBank’s Digital Transformation Journey","Infosys Finacle powers XacBank’s Digital Transformation Journey","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй Bengaluru, India – April 20, 2023:Infosys Finacle, part ofEdgeVerve Systems, a wholly-owned subsidiary ofInfosys(NSE, BSE, NYSE: INFY), and XacBank, a leading universal bank in Mongolia, today announced the successful transformation of the bank’s technology landscape with the Finacle Digital Banking Solution Suite. The Finacle suite now powers both the retail and corporate banking operations at XacBank, enabling a robust digital foundation for the bank to achieve its growth strategy. Highlights: Tsevegjav Gumenjav, Chief Executive Officer, XacBank, said, “We are happy at the successful completion of this much-awaited digital transformation, drawing us closer to our vision to be the preferred universal bank in Mongolia. In this digital-first era, the Finacle platform provides us with the right platform to offer custom offerings for our customers in Mongolia across segments, serving their financial needs in a secure manner. We look forward to scaling new heights with world-class banking and contribute to the larger economic development of Mongolia.” Sajit Vijaykumar, Chief Operating Officer, Infosys Finacle,said, ""We are excited to collaborate with XacBank in its digital transformation journey. By deploying Finacle's comprehensive suite of solutions, we are confident that the bank will be able to significantly improve its operational efficiency, enhance customer engagement, and drive innovation. Our collaboration will enable the bank to offer contextual and tailored solutions to its retail and business customers, accelerating the bank’s growth and economic development of the country."" About XacBank Since its founding in 2001, XacBank has created sustainable growth in the banking and financial sector of Mongolia, continuously expanding operations, and has become one of the largest systemic banks. XacBank today provides integrated banking and financial solutions to consumer and MSMEs throughout its over 70  nation-wide branches, serving approximately 1 million customers. To know more, visitwww.xacbank.mn About Infosys Finacle Finacle is an industry leader in digital banking solutions. We are a unit of EdgeVerve Systems, a wholly owned product subsidiary of Infosys (NSE, BSE, NYSE: INFY). We partner with emerging and established financial institutions to help inspire better banking. Our cloud-native solution suite and SaaS services help banks engage, innovate, operate, and transform better to scale digital transformation with confidence. Finacle solutions address the core banking, lending, digital engagement, payments, cash management, wealth management, treasury, analytics, AI, and blockchain requirements of financial institutions. Today, banks in over 100 countries rely on Finacle to help more than a billion people and millions of businesses to save, pay, borrow, and invest better. For more information,visitwww.finacle.com  1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
"article_internal-audit-awards-2024","Монголын Үндэсний Дотоод Аудитын Холбооны “Оны Шилдэг”-ээр ХасБанк шалгарлаа","Монголын Үндэсний Дотоод Аудитын Холбооны “Оны Шилдэг”-ээр ХасБанк шалгарлаа","Амар зээл Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ. Бага дүнтэй гэнэтийн мөнгөний хэрэгцээг аймар амархан шийднэ.  Дэлгэрэнгүй Мобайл Банк Үйлчилгээ 2.0 Банк хоорондын гүйлгээгээ хийгээрэй. Банк хоорондын гүйлгээгээ хийгээрэй.  Дэлгэрэнгүй Хасын Хүлэгүүд Лимитед Виза карт Лимитед Виза карт  Дэлгэрэнгүй Монголын Үндэсний Дотоод Аудиторуудын Холбоо (IIA Mongolia chapter)-ны 8 дахь удаагийн Форум (Annual Conference)“Өөрчлөлтийг хүлээн авч, үнэ цэнийг нэмэгдүүлье”уриан дор 2024 оны 11 сарын 14-ний өдөр амжилттай зохион байгуулагдлаа. Энэ жилийн арга хэмжээний үеэр холбооноос анх удаа “Оны шилдэг”-үүдээ торуулсан бөгөөд ХасБанкны Дотоод аудитын нэгжийг онцгой амжилт гарган, мэргэжлийн өндөр түвшинд ажилласныг үнэлэн “ОНЫ ШИЛДЭГ ДОТООД АУДИТЫН НЭГЖ” –ээр шалгарууллаа. ХасБанк Монгол Улсын дотоод аудитын хөгжил дэвшилд үнэтэй хувь нэмэр оруулсан олон ажлыг санаачлан хэрэгжүүлж, салбартаа тэргүүлж ирсэн бөгөөд Олон улсын мэргэшсэн дотоод аудитор цолтой (CIA) мэргэжилтнийг Монголд хамгийн их бэлтгэсэн байгууллага гэдгээрээ бид бахархдаг.  Салбарын хөгжилд оруулсан ХасБанкны хувь нэмрээс дурдвал, 2014 онд эрсдэлд суурилсан аудитын аргачлалыг анхлан нэвтрүүлж, дата шилжилгээг дотоод аудитын үйл ажиллагаанд оновчтой ашиглаж эхэлсэн бол 2020 оноос үргэлжилсэн аудитын аргачлалд шилжих ажлыг шат дараатай хэрэгжүүлсний үр дүнд үйл ажиллагааны чанар, үр ашиг дээшилж, шинэ тутам эрсдэлүүдийг цаг алдалгүй илрүүлж, богино хугацаанд арга хэмжээ авах боломж нээгдсэн. *** Америкийн Нэгдсэн Улсад төвтэй Дотоод Аудиторын Институт (IIA Global) 1941 онд байгуулагдсан, 170 гаруй улсын 245,000 гаруй гишүүн байгууллагатай, олон улсын мэргэжлийн байгууллага юм. Монголын Үндэсний Дотоод Аудитын Холбоо (IIA Mongolia chapter) нь IIA Глобалын Монгол дахь цор ганц салбар болж 2016 оноос албан ёсоор үйл ажиллагаагаа явуулж эхэлснээр монголын дотоод аудиторууд олон улсын жишгээр хөгжиж үнэлүүлэх суурь тавигдсан.  1800-1888,75771888 info@xacbank.mn © 2001-2024. ХасБанк Бүтээгдэхүүн Картын бүтээгдэхүүн Зээлийн үйлчилгээ Хадгаламж Хадгаламжийн хайрцаг Цахим банк Интернэт Банк ХасБанк аппликейшн XacИнфо үйлчилгээ Мобайл Банк 2.0 Банкны тухай ХасБанкны тухай Аюулгүй байдал Нээлттэй ажлын байр Тендер, сонгон шалгаруулалт Тусламж Онлайн туслах АТМ, Салбаруудын байршил Тооцоолуур Холбоо барих"
